ranking,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
1,相葉雅紀,阿部寛,中居正広,阿部寛,阿部寛,阿部寛,,,櫻井翔,櫻井翔,,
2,大野智,二宮和也,阿部寛,櫻井翔,大野智,堺雅人,,,二宮和也,香取慎吾,,
3,二宮和也,櫻井翔,大泉洋,中居正広,櫻井翔,櫻井翔,,,阿部寛,相葉雅紀,,
4,大泉洋,大野智,櫻井翔,二宮和也,二宮和也,松本潤,,,相葉雅紀,木村拓哉,,
5,松本潤,ムロツヨシ,大野智,大泉洋,堺雅人,大野智,,,香取慎吾,大野智,,
6,櫻井翔,阿部サダヲ,相葉雅紀,大野智,相葉雅紀,相葉雅紀,,,松本潤,二宮和也,,
7,ムロツヨシ,相葉雅紀,星野源,相葉雅紀,中居正広,二宮和也,,,大野智,小栗旬,,
8,阿部寛,山田孝之,二宮和也,岡田准一,松本潤,岡田准一,,,妻夫木聡,加藤清史郎,,
9,長瀬智也,岡田准一,阿部サダヲ,長瀬智也,岡田准一,香取慎吾,,,渡辺謙,妻夫木聡,,
10,香川照之,中居正広,岡田准一,松本潤,香取慎吾,向井理,,,草_剛,松本潤,,
11,小栗旬,長瀬智也,長瀬智也,草_剛,香川照之,阿部サダヲ,,,唐沢寿明,阿部寛,,
12,山田孝之,藤原竜也,小栗旬,向井理,大泉洋,中居正広,,,国分太一,中居正広,,
13,菅田将暉,香川照之,綾野剛,堺雅人,小栗旬,大泉洋,,,竹野内豊,山下智久,,
14,滝沢秀明,大泉洋,草_剛,阿部サダヲ,長瀬智也,長瀬智也,,,松山ケンイチ,草_剛,,
15,生田斗真,綾野剛,桐谷健太,香取慎吾,竹野内豊,香川照之,,,向井理,唐沢寿明,,
16,中居正広,菅田将暉,堺雅人,小栗旬,阿部サダヲ,国分太一,,,大泉洋,稲垣吾郎,,
17,阿部サダヲ,生田斗真,山田孝之,竹野内豊,草_剛,竹野内豊,,,江口洋介,長瀬智也,,
18,遠藤憲一,香取慎吾,菅田将暉,城島茂,城島茂,草_剛,,,中居正広,国分太一,,
19,岡田准一,松坂桃李,松坂桃李,山口達也,向井理,山口達也,,,木村拓哉,竹中直人,,
20,山下智久,小栗旬,松本潤,唐沢寿明,山口達也,三浦春馬,,,岡田准一,水嶋ヒロ,,
21,神木隆之介,堺雅人,堤真一,木村拓哉,木村拓哉,小栗旬,,,水谷豊,DAIGO,,
22,小泉孝太郎,西島秀俊,竹野内豊,堤真一,唐沢寿明,竹中直人,,,小栗旬,玉木宏,,
23,藤原竜也,松本潤,佐々木蔵之介,藤原竜也,堤真一,唐沢寿明,,,山下智久,岡田准一,,
24,松坂桃李,星野源,香取慎吾,渡辺謙,生田斗真,堤真一,,,佐藤浩市,山口達也,,
25,西島秀俊,堤真一,唐沢寿明,松坂桃李,松岡昌宏,佐藤浩市,,,長瀬智也,ユースケ・サンタマリア,,
26,唐沢秀明,遠藤憲一,西島秀俊,稲垣吾郎,妻夫木聡,瑛太,,,ユースケ・サンタマリア,江口洋介,,
27,佐藤健,松岡昌宏,藤原竜也,桐谷健太,瑛太,木村拓哉,,,竹中直人,水谷豊,,
28,竹野内豊,山下智久,濱田岳,綾野剛,玉木宏,妻夫木聡,,,役所広司,小泉孝太郎,,
29,松岡昌宏,唐沢寿明,妻夫木聡,国分太一,速水もこみち,城島茂,,,伊東四朗,竹野内豊,,
30,堂本剛,斎藤工,松岡昌宏,生田斗真,西島秀俊,水谷豊,,,織田裕二,三浦春馬,,
31,,,,西島秀俊,,,,,香川照之,,,
